Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.3020  train_acc=0.1121  val_acc=0.1143
Epoch 2/10  loss=2.3014  train_acc=0.1121  val_acc=0.1143
Epoch 3/10  loss=2.3013  train_acc=0.1121  val_acc=0.1143
Epoch 4/10  loss=2.3013  train_acc=0.1121  val_acc=0.1143
Epoch 5/10  loss=2.3013  train_acc=0.1121  val_acc=0.1143
Epoch 6/10  loss=2.3013  train_acc=0.1121  val_acc=0.1143
Epoch 7/10  loss=2.3013  train_acc=0.1121  val_acc=0.1143
Epoch 8/10  loss=2.3013  train_acc=0.1121  val_acc=0.1143
Epoch 9/10  loss=2.3013  train_acc=0.1121  val_acc=0.1143
Epoch 10/10  loss=2.3013  train_acc=0.1121  val_acc=0.1143

Test Accuracy : 0.1135
Test F1 Score : 0.0204
